Tire age,Wedge gauge,Interbelt gauge,EB2B,Peel force,Carbon black (%),Wedge gauge×peel force,Survival,Censoring
1.22,0.81,0.88,1.07,0.63,1.02,0.46,1.02,1
1.19,0.69,0.77,0.92,0.68,1.02,0.43,1.05,0
0.93,0.77,1.01,1.11,0.72,0.99,0.49,1.22,1
0.85,0.8,0.57,0.98,0.75,1,0.42,1.17,0
0.85,0.85,1.26,1.03,0.7,1.02,0.64,1.09,1
0.91,0.89,0.94,1,0.77,1.03,0.59,1.09,0
0.93,0.98,0.84,0.92,0.72,1,0.55,1.17,0
1.1,0.76,0.94,1.01,0.84,0.98,0.55,1.1,1
0.95,0.53,0.96,0.91,0.58,1,0.27,1,0
0.94,0.87,1.11,0.88,0.72,0.99,0.65,1.15,0
1.08,1.13,1.12,0.93,0.75,0.96,0.79,0.98,0
0.89,1.03,1.28,0.97,0.68,1.02,0.53,1.24,1
1.41,0.79,0.83,0.91,1,1,1,0.98,0
1.5,0.72,0.76,0.97,0.76,0.96,0.35,1.15,0
1.21,0.54,0.7,0.95,0.59,1,0.3,0.65,0
2.01,0.76,0.94,1.01,0.53,1,0.35,0.97,0
1.49,0.64,0.7,1.02,0.71,0.97,0.41,0.85,1
1.55,0.63,0.71,1.13,0.66,1,0.4,0.98,1
1.23,0.84,1.09,1.04,0.76,0.98,0.57,1.02,1
2.6,1.05,1.21,1.07,1.06,0.99,1.05,1.14,1
2.26,0.98,1.34,1.02,0.87,1,0.89,1.18,1
1.66,1.13,0.68,1.18,1.02,0.98,0.86,1.18,1
2.03,0.96,1.12,1.11,0.57,1.01,0.47,0.91,1
0.38,1.15,1.01,0.97,0.81,1,0.86,0.75,1
0.45,1.23,1.01,0.96,0.74,1,0.91,0.79,1
0.38,0.89,1.03,0.99,0.84,0.99,0.74,0.87,1
0.09,1.37,1.29,1.06,2.27,1,2.61,0.87,1
0.09,1.35,1.44,0.95,2.33,1,3,0.87,1
0.09,1.49,1.13,0.91,2.15,1,2.75,0.9,1
0.15,1.32,1.11,0.91,1.9,1,2.18,0.91,1
0.17,1.68,1.12,1.05,1.74,1.02,2.44,0.79,1
0.17,1.71,0.98,1.05,1.68,1.02,2.42,0.83,1
0.17,1.63,1.05,1.02,1.44,1.03,2.16,0.84,1
1.05,1.04,1.06,1.02,1.03,1.03,0.93,1.28,1